Old Key,New Key,Value,Suggested Key,Suggested Key Value
landing-page.servers-up,landing.servers-up,Connection to our servers has been re-established.,,Connection to our servers has been re-established.
yes,MISSING_IN_NEW_JSON,Yes,,
no,MISSING_IN_NEW_JSON,No,,
fair,MISSING_IN_NEW_JSON,FAIR,,
treeselect.filter,MISSING_IN_NEW_JSON,Filter selection,,
treeselect.toggle,MISSING_IN_NEW_JSON,Toggle {{value}},,
treeselect.options,MISSING_IN_NEW_JSON,Select options,,
languages,MISSING_IN_NEW_JSON,Languages,,
dmp.success.update,dmp.success.update,DMP was updated!,,DMP was updated!
dmp.success.save,dmp.success.save,DMP was saved!,,DMP was saved!
dmp.success.version.save,dmp.success.version.save,Version was saved!,,Version was saved!
dmp.error.load,MISSING_IN_NEW_JSON,DMPs were not loaded.,,
dmp.error.save,dmp.save.error,DMP was not updated.,,DMP was not updated.
dialog.export.title,export-dialog.title,The file download has started.,,The file download has started.
dialog.export.content,export-dialog.message,Please note that you are not done yet. \n  The exported document may still require fine-tuning.,,Please note that you are not done yet. \n  The exported document may still require fine-tuning.
dialog.export.button,export-dialog.button.ok,OK,,OK
dialog.export.type,export-dialog.field.type,Choose type of export,,Choose type of export
dialog.export.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,delete.dialog.button.cancel,Cancel(11)
dialog.delete.title,delete.dialog.title,Please note:,,Please note:
dialog.delete.content.dmp,delete.dialog.message.dmp,You are about to delete this DMP. This action cannot be undone. Are you sure you want to proceed?,,You are about to delete this DMP. This action cannot be undone. Are you sure you want to proceed?
dialog.delete.content.storage,delete.dialog.message.storage,You are about to delete this storage. This action cannot be undone. Are you sure you want to proceed?,,You are about to delete this storage. This action cannot be undone. Are you sure you want to proceed?
dialog.delete.content.storageTranslation,delete.dialog.message.storageTranslation,You are about to delete this storage translation. This action cannot be undone. Are you sure you want to proceed?,,You are about to delete this storage translation. This action cannot be undone. Are you sure you want to proceed?
dialog.delete.button,COULD_NOT_BE_AUTO_REPLACE,Delete,admin.images.dialog.delete,Delete(5)
dialog.delete.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,delete.dialog.button.cancel,Cancel(11)
access.button.plans,access.button.plans,Go back to DMP overview,,Go back to DMP overview
access.search.label,access.search.label,Search Users,,Search Users
access.no_rights,access.no_rights,Default setting. The user will not be able to see or interact with the DMP.,,Default setting. The user will not be able to see or interact with the DMP.
access.editor,access.editor,"Editor rights grant the user permissions to see the DMP and make changes to it. There are no restrictions on the kind of changes this user can make, bar deleting the DMP. The user can not however, assign viewing or editing permissions.",,"Editor rights grant the user permissions to see the DMP and make changes to it. There are no restrictions on the kind of changes this user can make, bar deleting the DMP. The user can not however, assign viewing or editing permissions."
access.owner,access.owner,"Owners can view, write, delete and assign permissions for DMPs. They are also capable of creating new owners - handle with care, new owners can remove old ones.",,"Owners can view, write, delete and assign permissions for DMPs. They are also capable of creating new owners - handle with care, new owners can remove old ones."
access.list,access.list,Only users that have already logged in once can be assigned editing rights for a DMP. ,,Only users that have already logged in once can be assigned editing rights for a DMP. 
access.info,access.info,Please note that simultaneous editing of a DMP can lead to data loss as changes may overwrite each other. Please make sure that you are the only one editing the dmp at the moment.,,Please note that simultaneous editing of a DMP can lead to data loss as changes may overwrite each other. Please make sure that you are the only one editing the dmp at the moment.
access.noOwner,access.noOwner,Only owners of the DMP are allowed to change access rights.,,Only owners of the DMP are allowed to change access rights.
plans.mydmps,dashboard.cards.my-dmps.front-side,MY DMPs,,MY DMPs
plans.myDmpsDescription,dashboard.cards.my-dmps.back-side,"View and manage your existing Data Management Plans (DMPs) in one place. Keep track of their status, updates, and versions.",,"View and manage your existing Data Management Plans (DMPs) in one place. Keep track of their status, updates, and versions."
plans.alldmps,plans.alldmps,All DMPs,,All DMPs
plans.create.dmp,plans.create.dmp,CREATE NEW DMP,,CREATE NEW DMP(2)
plans.loading.load,plans.loading.load,Load DMPs...,,Load DMPs...
plans.loading.failed,plans.loading.failed,Your DMPs could not be loaded!,,Your DMPs could not be loaded!
plans.table.header.title,plans.table.header.title,Title,,Title(5)
plans.table.header.version,plans.table.header.version,Version,,Version(3)
plans.table.header.version_tag,plans.table.header.version_tag,version tag,,version tag
plans.table.header.version_name,plans.table.header.version_name,version name,,version name
plans.table.header.created,plans.table.header.created,Created,,Created
plans.table.header.modified,plans.table.header.modified,Last modified,,Last modified
plans.table.header.contact,plans.table.header.contact,Contact,,Contact
plans.table.actions.edit,plans.table.actions.edit,Edit,,Edit(3)
plans.table.actions.access,plans.table.actions.access,Edit access,,Edit access
plans.table.actions.history,plans.table.actions.history,View versions,,View versions
plans.table.actions.delete,plans.table.actions.delete,Delete DMP,,Delete DMP
plans.table.expanded.duration,MISSING_IN_NEW_JSON,Project duration: {{value}},,
plans.table.export.json,plans.table.export.json,Export as JSON,,Export as JSON
plans.table.export.doc,plans.table.export.doc,Export as document,,Export as document
plans.table.empty,plans.table.empty,No DMPs found,,No DMPs found
plans.table.nodatafilter,plans.table.nodatafilter,"No data matching the filter ""{{value}}""",,"No data matching the filter ""{{value}}""(2)"
plans.table.search,plans.table.search,Search DMP,,Search DMP
plans.table.nocontact,plans.table.nocontact,No contact defined.,,No contact defined.
admin.title,admin.pageTitle,Admin page,,Admin page
admin.banner,admin.banner.sectionTitle,Banner,,Banner
admin.theme,admin.theme.sectionTitle,Color-Theme,,Color-Theme
admin.image,admin.images.sectionTitle,Images,,Images
admin.recommended-repositories,admin.recommended-repositories.sectionTitle,Recommended Repositories,,Recommended Repositories
admin.internal-storage,admin.internalStorage.sectionTitle,Internal Storage,,Internal Storage
admin.internal-storage-translations,admin.internalStorage.translation.sectionTitle,Translations for: ,,Translations for: 
admin.internal-storage-translations-no-selected,COULD_NOT_BE_AUTO_REPLACE,Translations,admin.internalStorage.table.action.translation,Translations
admin.reset-selection,admin.internalStorage.selection.reset,Reset selection,,Reset selection
admin.translation-info,admin.internalStorage.translation.info,"In order to see the translations for a specific internal storage, please select the internal storage from the list in the actions menu, and the option 'Translations'.",,"In order to see the translations for a specific internal storage, please select the internal storage from the list in the actions menu, and the option 'Translations'."
admin.banner-missing-info,admin.banner.state.missing,There is no banner currently set for the app.,,There is no banner currently set for the app.
admin.images.title,admin.images.title,Manage Application Images,,Manage Application Images
admin.images.current.title,admin.images.current.title,Current images in use,,Current images in use
admin.images.upload.title,admin.images.upload.title,Upload new image,,Upload new image
admin.images.upload.image-type,admin.images.upload.image-type,Image Type,,Image Type
admin.images.upload.drag-drop,admin.images.upload.drag-drop,Click to select or drag and drop,,Click to select or drag and drop
admin.images.upload.file-types,admin.images.upload.file-types,"PNG, SVG, JPEG, JPG, GIF, WebP",,"PNG, SVG, JPEG, JPG, GIF, WebP"
admin.images.upload.max-size,admin.images.upload.max-size,Max size: 5MB,,Max size: 5MB
admin.images.upload.button,admin.images.upload.button,Upload Image,,Upload Image
admin.images.upload.success,admin.images.upload.success,Image uploaded successfully,,Image uploaded successfully
admin.images.upload.error,admin.images.upload.error,Failed to upload image,,Failed to upload image
admin.images.upload.invalid-file-type,admin.images.upload.invalid-file-type,Invalid file type. Only {{allowedTypes}} files are allowed.,,Invalid file type. Only {{allowedTypes}} files are allowed.
admin.images.upload.file-size-too-large,admin.images.upload.file.size-too-large,File size too large. Maximum size is {{maxSize}}.,,File size too large. Maximum size is {{maxSize}}.
admin.images.dialog.cancel,admin.images.dialog.cancel,Cancel,,Cancel(11)
admin.images.dialog.delete,admin.images.dialog.delete,Delete,,Delete(5)
admin.images.dialog.warning,admin.images.dialog.warning,You are about to delete a custom image. This operation cannot be undone. Are you sure you want to proceed?,,You are about to delete a custom image. This operation cannot be undone. Are you sure you want to proceed?
admin.images.actions.delete,admin.images.actions.delete,Delete,,Delete(5)
admin.table.header.url,COULD_NOT_BE_AUTO_REPLACE,URL,admin.internalStorage.table.header.url,URL(3)
admin.table.header.storageLocation,COULD_NOT_BE_AUTO_REPLACE,Storage Location,admin.internalStorage.table.header.storageLocation,Storage Location(3)
admin.table.header.backupLocation,COULD_NOT_BE_AUTO_REPLACE,Backup Location,admin.internalStorage.table.header.backupLocation,Backup Location(3)
admin.table.header.active,admin.internalStorage.table.header.active,Active,,Active
admin.table.header.action,COULD_NOT_BE_AUTO_REPLACE,Actions,admin.internalStorage.table.header.actions,Actions(2)
admin.table.header.langugageCode,COULD_NOT_BE_AUTO_REPLACE,Language Code,admin.internalStorage.translation.table.header.languageCode,Language Code(2)
admin.table.header.title,COULD_NOT_BE_AUTO_REPLACE,Title,plans.table.header.title,Title(5)
admin.table.header.description,COULD_NOT_BE_AUTO_REPLACE,Description,admin.internalStorage.table.header.description,Description(6)
admin.table.header.backupFrequency,COULD_NOT_BE_AUTO_REPLACE,Backup Frequency,admin.internalStorage.table.header.backupFrequency,Backup Frequency(3)
admin.table.action.delete,COULD_NOT_BE_AUTO_REPLACE,Delete,admin.images.actions.delete,Delete(5)
admin.table.action.deactivate,MISSING_IN_NEW_JSON,Deactivate,,
admin.table.action.activate,MISSING_IN_NEW_JSON,Activate,,
admin.table.action.edit,COULD_NOT_BE_AUTO_REPLACE,Edit,plans.table.actions.edit,Edit(3)
admin.table.action.translation,COULD_NOT_BE_AUTO_REPLACE,Translations,admin.internalStorage.table.action.translation,Translations
admin.table.empty,admin.internalStorage.table.state.empty,No data available,,No data available
admin.table.no-selected,admin.internalStorage.table.state.noneSelected,No internal storage selected,,No internal storage selected
admin.create.storage,admin.internalStorage.action.create,Add new internal storage,,Add new internal storage
admin.create.translation,admin.internalStorage.translation.action.create,Add new translation,,Add new translation
admin.create.banner,admin.banner.action.create,Add app banner,,Add app banner
admin.edit.banner,admin.banner.action.edit,Edit app banner,,Edit app banner
admin.edit.theme,MISSING_IN_NEW_JSON,Edit app theme,,
admin.edit.images,MISSING_IN_NEW_JSON,Edit app images,,
admin.edit.repositories,MISSING_IN_NEW_JSON,Edit recommended repositories,,
admin.color-theme.title,admin.theme.title,Update application theme,,Update application theme
admin.color-theme.exact-colors,admin.theme.exact-colors,Exact Colors,,Exact Colors
admin.color-theme.advanced,admin.theme.advanced,Advanced,,Advanced
admin.color-theme.colors.primary,admin.theme.colors.primary,Primary,,Primary
admin.color-theme.colors.secondary,admin.theme.colors.secondary,Secondary,,Secondary
admin.color-theme.colors.tertiary,admin.theme.colors.tertiary,Tertiary,,Tertiary
admin.color-theme.colors.primary-container,admin.theme.colors.primary-container,Primary Container,,Primary Container
admin.color-theme.colors.secondary-container,admin.theme.colors.secondary-container,Secondary Container,,Secondary Container
admin.color-theme.colors.tertiary-container,admin.theme.colors.tertiary-container,Tertiary Container,,Tertiary Container
admin.color-theme.buttons.save,COULD_NOT_BE_AUTO_REPLACE,Save,admin.theme.buttons.save,Save(3)
admin.color-theme.colorPicker.title,admin.theme.color-picker.title,Color Picker,,Color Picker
admin.color-theme.colorPicker.helper-text,admin.theme.color-picker.helper-text,Uses the primary color to generate this one,,Uses the primary color to generate this one
admin.color-theme.colorPreview.title,admin.theme.color-preview.title,Color Preview,,Color Preview
admin.color-theme.colorPreview.primary,admin.theme.color-preview.primary,Primary Colors,,Primary Colors
admin.color-theme.colorPreview.secondary,admin.theme.color-preview.secondary,Secondary Colors,,Secondary Colors
admin.color-theme.colorPreview.tertiary,admin.theme.color-preview.tertiary,Tertiary Colors,,Tertiary Colors
admin.color-theme.popup.success,admin.theme.popup.success,Color theme saved successfully,,Color theme saved successfully
admin.color-theme.popup.error,admin.theme.popup.error,Failed to save color theme,,Failed to save color theme
admin.delete.banner,admin.banner.action.delete,Delete app banner,,Delete app banner
admin.dialog.internal-storage.edit,admin.internalStorage.dialog.title.edit,Edit internal storage,,Edit internal storage
admin.dialog.internal-storage.add,admin.internalStorage.dialog.title.create,Add internal storage,,Add internal storage
admin.dialog.internal-storage.button.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,admin.internalStorage.translation.dialog.button.cancel,Cancel(11)
admin.dialog.internal-storage.button.add,COULD_NOT_BE_AUTO_REPLACE,Add,admin.internalStorage.translation.dialog.button.add,Add(4)
admin.dialog.internal-storage.button.update,COULD_NOT_BE_AUTO_REPLACE,Update,admin.internalStorage.translation.dialog.button.update,Update(3)
admin.dialog.internal-storage.captions.url,COULD_NOT_BE_AUTO_REPLACE,URL,admin.internalStorage.dialog.field.url,URL(3)
admin.dialog.internal-storage.captions.storageLocation,COULD_NOT_BE_AUTO_REPLACE,Storage Location,admin.internalStorage.dialog.field.storageLocation,Storage Location(3)
admin.dialog.internal-storage.captions.backupLocation,COULD_NOT_BE_AUTO_REPLACE,Backup Location,admin.internalStorage.dialog.field.backupLocation,Backup Location(3)
admin.dialog.internal-storage.captions.active,admin.internalStorage.dialog.field.active,Internal storage is active?,,Internal storage is active?
admin.dialog.internal-storage-translation.edit,admin.internalStorage.translation.dialog.title.edit,Edit translation,,Edit translation
admin.dialog.internal-storage-translation.add,admin.internalStorage.translation.dialog.title.create,Add translation,,Add translation
admin.dialog.internal-storage-translation.button.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,admin.internalStorage.translation.dialog.button.cancel,Cancel(11)
admin.dialog.internal-storage-translation.button.add,COULD_NOT_BE_AUTO_REPLACE,Add,admin.internalStorage.translation.dialog.button.add,Add(4)
admin.dialog.internal-storage-translation.button.update,COULD_NOT_BE_AUTO_REPLACE,Update,admin.internalStorage.translation.dialog.button.update,Update(3)
admin.dialog.internal-storage-translation.captions.title,COULD_NOT_BE_AUTO_REPLACE,Title,admin.internalStorage.translation.dialog.field.title,Title(5)
admin.dialog.internal-storage-translation.captions.description,COULD_NOT_BE_AUTO_REPLACE,Description,admin.internalStorage.translation.dialog.field.description,Description(6)
admin.dialog.internal-storage-translation.captions.languageCode,COULD_NOT_BE_AUTO_REPLACE,Language Code,admin.internalStorage.translation.dialog.field.languageCode,Language Code(2)
admin.dialog.internal-storage-translation.captions.backupFrequency,COULD_NOT_BE_AUTO_REPLACE,Backup Frequency,admin.internalStorage.translation.dialog.field.backupFrequency,Backup Frequency(3)
admin.dialog.internal-storage-translation.captions.eng,admin.internalStorage.translation.dialog.field.eng,English,,English
admin.dialog.internal-storage-translation.captions.deu,admin.internalStorage.translation.dialog.field.deu,German,,German
admin.dialog.banner.edit,admin.banner.dialog.title.edit,Edit banner,,Edit banner
admin.dialog.banner.add,admin.banner.dialog.title.create,Create banner,,Create banner
admin.dialog.banner.captions.title,COULD_NOT_BE_AUTO_REPLACE,Title,admin.banner.dialog.field.title,Title(5)
admin.dialog.banner.captions.description,COULD_NOT_BE_AUTO_REPLACE,Description,admin.banner.dialog.field.description,Description(6)
admin.dialog.banner.captions.color,admin.banner.dialog.field.backgroundColor,Background color,,Background color
admin.dialog.banner.captions.dismissible,admin.banner.dialog.field.dismissible,Dismissible,,Dismissible
admin.dialog.banner.button.update,COULD_NOT_BE_AUTO_REPLACE,Edit,admin.banner.dialog.button.update,Edit(3)
admin.dialog.banner.button.add,COULD_NOT_BE_AUTO_REPLACE,Add,admin.banner.dialog.button.add,Add(4)
admin.dialog.banner.button.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,admin.banner.dialog.button.cancel,Cancel(11)
admin.dialog.banner.tooltip.color,admin.banner.dialog.help.backgroundColor,Click to select a background color for the banner,,Click to select a background color for the banner
admin.dialog.banner.preview,MISSING_IN_NEW_JSON,Preview,,
admin.repositories.title,admin.recommended-repositories.title,Manage Recommended Repositories,,Manage Recommended Repositories
admin.repositories.current,COULD_NOT_BE_AUTO_REPLACE,Current Recommended Repositories,admin.recommended-repositories.current,Current Recommended Repositories(2)
admin.repositories.empty,admin.recommended-repositories.empty,No recommended repositories configured. Add some repositories to get started.,,No recommended repositories configured. Add some repositories to get started.
admin.repositories.delete-dialog.title,MISSING_IN_NEW_JSON,Delete Repository,,
admin.repositories.delete-dialog.message,admin.recommended-repositories.delete-dialog.message,Are you sure you want to delete this recommended repository?,,Are you sure you want to delete this recommended repository?
admin.repositories.delete-dialog.repositoryId,admin.recommended-repositories.delete-dialog.repositoryId,Repository ID,,Repository ID
admin.repositories.delete-dialog.name,COULD_NOT_BE_AUTO_REPLACE,Name,admin.recommended-repositories.delete-dialog.name,Name(3)
admin.repositories.delete-dialog.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,admin.recommended-repositories.delete-dialog.cancel,Cancel(11)
admin.repositories.delete-dialog.confirm,COULD_NOT_BE_AUTO_REPLACE,Delete,admin.recommended-repositories.delete-dialog.confirm,Delete(5)
info.project.funder,MISSING_IN_NEW_JSON,"If your project is missing, please contact [mail@address.example]. You can add project information manually, however you will have to select a funder template when exporting as funder information is not available.",,
info.ethical.humanParticipants.prefix,dmp.steps.legal.info.humanParticipants.prefix,"An informed consent for participation (in addition to an informed consent to data processing) is required. For more information, see an ",,"An informed consent for participation (in addition to an informed consent to data processing) is required. For more information, see an "
info.ethical.humanParticipants.researchEthicsCoordination.text,dmp.steps.legal.info.humanParticipants.researchEthicsCoordination.text,Example Informed Consent Guide,,Example Informed Consent Guide
info.ethical.humanParticipants.researchEthicsCoordination.link,dmp.steps.legal.info.humanParticipants.researchEthicsCoordination.link,https://www.tuwien.at/fileadmin/Assets/forschung/Forschungsethik/Guidance_Document_Informed_Consent.pdf,,https://www.tuwien.at/fileadmin/Assets/forschung/Forschungsethik/Guidance_Document_Informed_Consent.pdf
info.ethical.humanParticipants.middle,dmp.steps.legal.info.humanParticipants.middle, or consult your institution's ,, or consult your institution's 
info.ethical.humanParticipants.researchEthics.text,dmp.steps.legal.info.humanParticipants.researchEthics.text,center for responsible research practices,,center for responsible research practices
info.ethical.humanParticipants.researchEthics.link,dmp.steps.legal.info.humanParticipants.researchEthics.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices,,https://www.tuwien.at/forschung/fti-support/responsible-research-practices
info.ethical.ethicalIssues.text,dmp.steps.legal.info.ethicalIssues.text,Your research plan may require ethical review. Inform yourself by consulting your ,,Your research plan may require ethical review. Inform yourself by consulting your 
info.ethical.ethicalIssues.researchEthics.text,dmp.steps.legal.info.ethicalIssues.researchEthics.text,institution's code of conduct,,institution's code of conduct
info.ethical.ethicalIssues.researchEthics.link,dmp.steps.legal.info.ethicalIssues.researchEthics.link,https://www.tuwien.at/index.php?eID=dms&s=4&path=Richtlinien%20und%20Verordnungen/Code%20of%20Conduct%20fuer%20wissenschaftliches%20Arbeiten.pdf,,https://www.tuwien.at/index.php?eID=dms&s=4&path=Richtlinien%20und%20Verordnungen/Code%20of%20Conduct%20fuer%20wissenschaftliches%20Arbeiten.pdf
info.ethical.committeeReviewed.prefix,dmp.steps.legal.info.committeeReviewed.prefix,Please note that you must address (potential) ethical issues in separate documents according to the requirements of the relevant funding body. The DMP only serves to help identify some ethical issues.\nPlease contact your ,,Please note that you must address (potential) ethical issues in separate documents according to the requirements of the relevant funding body. The DMP only serves to help identify some ethical issues.\nPlease contact your 
info.ethical.committeeReviewed.mail.text,dmp.steps.legal.info.committeeReviewed.mail.text,institution's Ethic's Committee,,institution's Ethic's Committee
info.ethical.committeeReviewed.mail.link,COULD_NOT_BE_AUTO_REPLACE,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee,dmp.steps.legal.info.committeeReviewed.mail.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee(2)
info.ethical.committeeReviewed.suffix,dmp.steps.legal.info.committeeReviewed.suffix, for additional information and support. You must do so if your planned research involves any human participation.,, for additional information and support. You must do so if your planned research involves any human participation.
info.cris,info.cris,Option currently selected in the CRIS system: {{value}}.,,Option currently selected in the CRIS system: {{value}}.
info.documentation.metadata,dmp.steps.documentation.info.metadata,"In archives, metadata is used to create consistent and structured descriptions of resources and their characteristics. Metadata is independent and can either be stored together with the resources it describes or separately. Metadata plays a key role in the future of your stored research data: it contains important information which for example enables you and others to search for and find your data.\nA metadata set consists mainly of descriptive categories, the so-called elements and their values. To facilitate communication with other systems, predefined standards are used for the elements and controlled vocabularies for the values.",,"In archives, metadata is used to create consistent and structured descriptions of resources and their characteristics. Metadata is independent and can either be stored together with the resources it describes or separately. Metadata plays a key role in the future of your stored research data: it contains important information which for example enables you and others to search for and find your data.\nA metadata set consists mainly of descriptive categories, the so-called elements and their values. To facilitate communication with other systems, predefined standards are used for the elements and controlled vocabularies for the values."
info.repositories.retention,dmp.steps.repositories.info.retention,Set the time for how long your data should remain in the repository,,Set the time for how long your data should remain in the repository
info.dataset.none,dmp.steps.data.specify.info.none,"Research data is all digital objects created in the course of academic work, for instance, measurements, surveys, observations, simulations, interviews, and software.<br>If you still believe you will not generate or reuse any data in your project, we recommend manually filling in the original DMP templates instead of using the DMP tool.<br>FWF: Please fill in the required administrative information in section I.1 and explain why the project will not produce or use data in section I.2 Data management responsibilities and resources. The rest of the template should be empty.<br>EU (Horizon Europe): Please fill in the required administrative information on pages 1-3 and explain why the project will not produce or use data in section 1 Data summary. If applicable, enter information in section 3 Other research outputs.",,"Research data is all digital objects created in the course of academic work, for instance, measurements, surveys, observations, simulations, interviews, and software.<br>If you still believe you will not generate or reuse any data in your project, we recommend manually filling in the original DMP templates instead of using the DMP tool.<br>FWF: Please fill in the required administrative information in section I.1 and explain why the project will not produce or use data in section I.2 Data management responsibilities and resources. The rest of the template should be empty.<br>EU (Horizon Europe): Please fill in the required administrative information on pages 1-3 and explain why the project will not produce or use data in section 1 Data summary. If applicable, enter information in section 3 Other research outputs."
info.dataset.unknown,MISSING_IN_NEW_JSON,"This is a good time to think about your expectations. You should already have an idea of what kind of (digital) material you will be creating or analysing in your project, even if it is still vague and you don’t have specific details. If this is the case, click on “Specify datasets.” and describe the expected material as well as possible in this early stage. You can mention in the DMP (= your export document from the tool) that the data description is a broad estimation that will be updated in a later version of the DMP. If you come to the conclusion that you will not create or analyse any data, click on “No data will be created or analysed.” and follow the instructions there.",,
dashboard.welcome.message,MISSING_IN_NEW_JSON,"Welcome to DAMAP, a service that helps you to create the Data Management Plan (DMP) for your project.",,
dashboard.dmp.heading,MISSING_IN_NEW_JSON,What is a DMP?,,
dashboard.dmp.text.prefix,info.how-to-create.dmp.text.prefix,A ,,A 
dashboard.dmp.text.dmp.text,info.how-to-create.dmp.text.dmp.text,DMP,,DMP
dashboard.dmp.text.dmp.link,info.how-to-create.dmp.text.dmp.link,https://www.tuwien.at/index.php?id=2819&L=1,,https://www.tuwien.at/index.php?id=2819&L=1
dashboard.dmp.text.middle,info.how-to-create.dmp.text.middle," is a structured document that keeps record of what research data is created and what happens to that data during and after a project. It helps with planning the research process, managing your data in accordance with the ",," is a structured document that keeps record of what research data is created and what happens to that data during and after a project. It helps with planning the research process, managing your data in accordance with the "
dashboard.dmp.text.fairprinciples.text,info.how-to-create.dmp.text.fairprinciples.text,FAIR Principles,,FAIR Principles
dashboard.dmp.text.fairprinciples.link,info.how-to-create.dmp.text.fairprinciples.link,https://www.go-fair.org/fair-principles/,,https://www.go-fair.org/fair-principles/
dashboard.dmp.text.suffix,info.how-to-create.dmp.text.suffix,", and defining rights and responsibilities in a research project involving several researchers or institutions.",,", and defining rights and responsibilities in a research project involving several researchers or institutions."
dashboard.tool.heading,COULD_NOT_BE_AUTO_REPLACE,About DAMAP,info.how-to-create.tool.heading,About DAMAP(2)
dashboard.tool.link,COULD_NOT_BE_AUTO_REPLACE,https://www.damap.org,info.how-to-create.tool.link,https://www.damap.org
